kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
cuda_sample_3.1.sm_52.ptx 60 : 10 60 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 58 : 10 50 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 54 : 10 60 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 53 : 10 50 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 52 : 10 40 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 51 : 10 100 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 50 : 10 90 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 49 : 10 80 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 47 : 256 1230 0 0 0 0 0 0 1 
cuda_sample_3.1.sm_52.ptx 34 : 256 1280 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 35 : 256 1280 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 36 : 256 1280 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 37 : 256 1536 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 67 : 10 50 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 38 : 256 1536 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 68 : 10 3410 64 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 39 : 256 1536 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 40 : 256 2432 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 41 : 256 1600 0 8 8 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 42 : 256 1280 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 72 : 256 1280 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 43 : 256 8128 0 8 8 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 44 : 256 2336 0 0 0 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 45 : 256 1056 0 8 8 0 0 0 0 
cuda_sample_3.1.sm_52.ptx 46 : 256 1536 0 0 0 0 0 0 0 
